year,round_id,seed,division_id,school_id,school_name,bracket,p
2016,1,1,1,657,Southern California,"{1,1,1,1,1,1,1}",1.0
2016,1,,1,148,Cleveland St.,"{2,1,1,1,1,1,1}",1.0
2016,1,,1,501,Northern Ariz.,"{3,2,1,1,1,1,1}",1.0
2016,1,,1,627,San Diego,"{4,2,1,1,1,1,1}",1.0
2016,1,,1,457,North Carolina,"{5,3,2,1,1,1,1}",1.0
2016,1,,1,460,UNCW,"{6,3,2,1,1,1,1}",1.0
2016,1,,1,149,Coastal Caro.,"{7,4,2,1,1,1,1}",1.0
2016,1,16,1,169,Creighton,"{8,4,2,1,1,1,1}",1.0
2016,1,9,1,328,Kansas,"{9,5,3,2,1,1,1}",1.0
2016,1,,1,244,Furman,"{10,5,3,2,1,1,1}",1.0
2016,1,,1,669,Missouri St.,"{11,6,3,2,1,1,1}",1.0
2016,1,,1,434,Missouri,"{12,6,3,2,1,1,1}",1.0
2016,1,,1,370,Loyola Marymount,"{13,7,4,2,1,1,1}",1.0
2016,1,,1,156,Colorado St.,"{14,7,4,2,1,1,1}",1.0
2016,1,,1,472,New Mexico St.,"{15,8,4,2,1,1,1}",1.0
2016,1,8,1,674,Stanford,"{16,8,4,2,1,1,1}",1.0
2016,1,13,1,77,BYU,"{17,9,5,3,2,1,1}",1.0
2016,1,,1,519,Ohio,"{18,9,5,3,2,1,1}",1.0
2016,1,,1,29,Arizona,"{19,10,5,3,2,1,1}",1.0
2016,1,,1,772,Western Ky.,"{20,10,5,3,2,1,1}",1.0
2016,1,,1,782,Wichita St.,"{21,11,6,3,2,1,1}",1.0
2016,1,,1,327,Kansas St.,"{22,11,6,3,2,1,1}",1.0
2016,1,,1,275,Harvard,"{23,12,6,3,2,1,1}",1.0
2016,1,4,1,463,Nebraska,"{24,12,6,3,2,1,1}",1.0
2016,1,5,1,756,Washington,"{25,13,7,4,2,1,1}",1.0
2016,1,,1,183,Denver,"{26,13,7,4,2,1,1}",1.0
2016,1,,1,416,Michigan St.,"{27,14,7,4,2,1,1}",1.0
2016,1,,1,30,Arkansas St.,"{28,14,7,4,2,1,1}",1.0
2016,1,,1,334,Kentucky,"{29,15,8,4,2,1,1}",1.0
2016,1,,1,23,American,"{30,15,8,4,2,1,1}",1.0
2016,1,,1,579,Robert Morris,"{31,16,8,4,2,1,1}",1.0
2016,1,12,1,518,Ohio St.,"{32,16,8,4,2,1,1}",1.0
2016,1,3,1,703,Texas,"{33,17,9,5,3,2,1}",1.0
2016,1,,1,220,Fairfield,"{34,17,9,5,3,2,1}",1.0
2016,1,,1,663,SMU,"{35,18,9,5,3,2,1}",1.0
2016,1,,1,559,Purdue,"{36,18,9,5,3,2,1}",1.0
2016,1,,1,418,Michigan,"{37,19,10,5,3,2,1}",1.0
2016,1,,1,631,Santa Clara,"{38,19,10,5,3,2,1}",1.0
2016,1,,1,28600,Lipscomb,"{39,20,10,5,3,2,1}",1.0
2016,1,14,1,110,UCLA,"{40,20,10,5,3,2,1}",1.0
2016,1,11,1,235,Florida,"{41,21,11,6,3,2,1}",1.0
2016,1,,1,469,New Hampshire,"{42,21,11,6,3,2,1}",1.0
2016,1,,1,28,Arizona St.,"{43,22,11,6,3,2,1}",1.0
2016,1,,1,234,Florida St.,"{44,22,11,6,3,2,1}",1.0
2016,1,,1,311,Iowa St.,"{45,23,12,6,3,2,1}",1.0
2016,1,,1,415,Miami (FL),"{46,23,12,6,3,2,1}",1.0
2016,1,,1,529,Oregon,"{47,24,12,6,3,2,1}",1.0
2016,1,6,1,796,Wisconsin,"{48,24,12,6,3,2,1}",1.0
2016,1,15,1,367,Louisville,"{49,25,13,7,4,2,1}",1.0
2016,1,,1,14927,Belmont,"{50,25,13,7,4,2,1}",1.0
2016,1,,1,659,Southern Ill.,"{51,26,13,7,4,2,1}",1.0
2016,1,,1,301,Illinois,"{52,26,13,7,4,2,1}",1.0
2016,1,,1,387,Marquette,"{53,27,14,7,4,2,1}",1.0
2016,1,,1,504,UNI,"{54,27,14,7,4,2,1}",1.0
2016,1,,1,314,Jackson St.,"{55,28,14,7,4,2,1}",1.0
2016,1,2,1,428,Minnesota,"{56,28,14,7,4,2,1}",1.0
2016,1,7,1,539,Penn St.,"{57,29,15,8,4,2,1}",1.0
2016,1,,1,290,Howard,"{58,29,15,8,4,2,1}",1.0
2016,1,,1,175,Dayton,"{59,30,15,8,4,2,1}",1.0
2016,1,,1,739,Villanova,"{60,30,15,8,4,2,1}",1.0
2016,1,,1,277,Hawaii,"{61,31,16,8,4,2,1}",1.0
2016,1,,1,698,TCU,"{62,31,16,8,4,2,1}",1.0
2016,1,,1,26172,Texas A&M Corpus Christi,"{63,32,16,8,4,2,1}",1.0
2016,1,10,1,697,Texas A&M,"{64,32,16,8,4,2,1}",1.0
